Amostra;Obs1;Obs2;Obs3;Obs4;Obs5;Obs6;Obs7
1;54,74;55,58;55,77;53,63;56,79;55,94;53,17
2;55,06;56,01;52,55;56,36;57,12;57,05;54,48
3;52,80;55,42;53,29;54,82;52,57;54,08;56,69
4;55,96;54,13;56,05;53,86;54,59;56,67;54,85
5;54,88;57,99;55,54;55,70;54,44;54,89;54,11
6;54,47;53,44;53,01;54,49;54,86;56,01;57,88
7;55,09;55,44;56,41;53,91;55,02;54,94;57,26
8;55,02;54,52;55,18;53,91;54,42;58,05;58,75
9;52,43;56,91;52,05;54,41;55,66;53,01;53,33
10;54,75;55,95;51,56;54,97;55,36;54,02;53,82
11;53,61;54,95;56,90;55,67;54,50;56,06;54,19
12;53,93;57,20;55,05;53,45;55,13;54,38;54,99
13;56,78;53,75;53,87;54,58;54,15;55,65;56,06
14;55,42;54,63;54,46;54,54;52,61;56,27;56,35
15;59,41;56,47;56,35;55,86;59,00;57,95;55,36
16;55,22;56,36;54,12;54,69;58,05;55,35;53,44
17;53,46;54,89;53,73;54,71;55,15;55,89;58,18
18;55,53;54,31;57,88;55,27;55,22;52,92;56,89
19;55,14;52,81;57,90;55,27;55,34;57,86;55,65
20;56,69;53,30;51,03;54,87;54,82;56,66;56,34
21;54,32;55,41;54,76;57,11;55,21;56,26;53,10
22;50,91;56,75;56,88;53,93;54,79;52,42;57,02
23;55,56;54,57;55,22;57,20;55,32;54,08;56,31
24;53,95;55,75;56,40;53,75;54,25;53,58;56,69
25;54,60;53,71;55,39;57,18;55,58;56,37;55,16
26;52,58;55,75;56,45;56,99;56,47;55,14;58,05
27;56,68;57,72;56,53;54,06;56,12;54,65;54,60
28;55,40;56,91;51,90;54,96;56,57;52,88;55,92
29;55,02;57,79;53,18;56,88;56,29;56,83;57,19
30;54,34;54,65;53,90;55,11;56,18;52,86;56,24
31;56,23;55,77;56,37;54,65;53,80;55,84;55,95
32;55,64;52,72;55,95;55,55;54,48;53,85;55,65
33;53,60;53,09;54,86;53,98;55,15;54,81;54,39
34;53,88;54,88;53,88;56,18;56,45;54,99;56,33
35;57,34;54,23;50,69;57,27;56,81;54,15;57,52
36;55,31;53,92;54,19;55,36;54,01;57,52;53,18
37;56,40;56,17;53,14;55,17;53,09;54,51;55,47
38;57,34;54,79;56,59;55,99;55,08;54,06;55,96
39;53,54;53,67;53,11;53,23;53,06;52,99;52,88
40;53,05;53,82;53,02;54,56;55,58;53,44;55,90
;;;;;;;
;;;;;;;LM
;;;;;;;LSC
;;;;;;;LIC
